,update_id,year,month,day,word
10,11,2020,2,19,"콜트,허니,피루엣,스파이크,스타,레온,감소,미스터,부활,발동,가방,게임,면역,리볼버,롤러,투척,밸런스,효과,포코,다이너마이트,최대,지속,여러분,특수,비트,삭제,일반,회복,수리검,초당,수류탄,조정,공격,마이크,피해,스톰,연발,한번,시간,의견,실드,내용,파워,대한,보호,엠즈,유지,대릴,후프,감사,사거리,가시,코트,미니,증가,지뢰,보너스,프랭크,프리,강철,라이프"
11,12,2020,1,24,"충돌,미스터,바운티,선택,수정,보상,획득,점검,로봇,척도,모드,최대,여러분,특수,정수정,발생,공격,트로피,초과,의견,짐꾼,대한,수령,오류,문제,경우,처치"
12,13,2020,1,24,"반경,허니,감소,스타,속도,아군,롤러,밸런스,맥스,여러분,지속,사포,특수,일반,조정,래스터,공격,피해,시간,의견,이동,내용,파워,대한,보호,대릴,후프,코트,장전,증가,강철"
13,14,2020,1,24,"확인,반영,배경,미스터,자신,점수,화가,신화,상품,롤러,수정,패배,바이러스,보상,조이스틱,밸런스,로봇,주의,화면,맞이,기타,상점,플레이어,등장,조정,피해,레벨,시간,추가,더블,짐꾼,적중,튕겨,횟수,정보,광역,업데이트,변경,게임,공개,조작,테이크다운,획득,척도,닌자,사용,기기,상대,핫존,의견,깡통,여행,오락실,히로인,설치,보이,린지,화난,장애물,기능,스타,가방,도울,승리,개선,아군,모드,특수,비트,일반,트로피,종료,거점,통해,비비,챔피언십,스킨,오류,랭크,태블릿,브롤러,큐피트,보석,에이전트,길거리,폭발,동안,토큰,활성화,제한,선택,이벤트,코알라,타라,점령,마지막,찾기,상태,여러분,하나,삭제,형태,공격,진행,진척,개편,내용,파워,매칭,대한,적용,특별,소환,취급,증가"
14,15,2019,12,20,"업데이트,콜트,기능,누락,변경,친구,선택,롤러,수정,직접,화면,두건,여러분,사용,해적,기기,비정상,안내,표시,트로피,진행,플레이,의견,대한,적용,아이콘,오류,페이스북,안드로이드,정상,다시,로그인,관련,버전,문제,팝업,반전,그래픽,메뉴"
15,16,2019,12,19,"타격,스타,작동,수정,이전,효과,점검,상태,여러분,사용,특수,정수정,비정상,공격,자세,의견,파워,대한,비비,적용,오류,버전,문제,대상,무적,임시,강철,벌떼"
16,17,2019,12,18,"누락,배경,구석,신화,롤러,수정,참가,보상,그녀,효과,무리,맥스,기타,포코,곤충학자,발사,플레이어,슈퍼,그림자,피해,친선,레벨,추가,누구,더블,잠깐,코트,본인,탈락,장전,레이디,드론,대기,무적,데이,영웅,규칙,업데이트,변경,게임,속도,공개,아주,명예,샘플,이상은,사포,사용,메이킹,대체,듀스,명중,한번,의견,제자리,수집,천국,한정,보호,다음,적의,지급,대릴,다시,전기,린지,그룹,벌떼,허니,콜트,감소,스타,피해량,변동,레온,부활,업그레이드,승리,아군,손목,기지,모드,최대,특수,일반,해적,거대,래스터,트로피,조수,총알,기간,자리,매치,치명상,챔피언십,기계,스킨,오류,로사,능력,브롤러,선물,스타즈,보석,강철,먼저,동안,즉시,마치,벌침,타라,기반,상태,브롤,여러분,공격,버그,월간,캡틴,채팅,이동,파워,대한,더욱,승마,적용,텍스트,충전,유지,차지,모든,범위,자동,문제,증가"
17,18,2019,12,5,"감소,이스트,스타,기준,변경,게임,속도,모래,블랙,샌디,면역,승리,라이플,롤러,밸런스,타라,포털,터렛,모드,여러분,지속,특수,비트,일반,회복,그림자,초당,조정,공격,피해,체력,시간,플레이,의견,실드,후원,내용,파워,사체,대한,엠즈,대릴,금고,후프,감사,제시,설치,증가,보너스,쇼크,강철,라이프"
18,19,2019,11,22,"제대로,잠시,진흙탕,게임,작동,수정,점검,모드,여러분,삭제,플레이어,기기,친선,플레이,의견,파워,대한,지원,오류,참여,문제,일부"
19,20,2019,11,21,"업데이트,시도,기능,브라운,레온,프렌즈,동안,최소,매우,불길,면역,라인,향기,친구,활성화,보스,상품,선택,크로우,로켓,테이크다운,수정,조건,점검,화면,초대,기타,메카,여러분,지속,클럽,사용,특수,상점,조준,등장,설정,기기,레너드,공격,피해,표시,트로피,뉴스,시간,추가,플레이,실드,시각,의견,묶음,사체,코인,대한,엠즈,다음,지원,오류,안드로이드,재생률,관련,범위,콜라보,문제,발생,애니메이션,다른,일부,보석,구매,메뉴"
20,21,2019,11,7,"감소,스파이크,스타,롤러,커브볼,리코,밸런스,각도,최대,여러분,건브렐,일반,조정,공격,피해,듀스,의견,더블,내용,파워,대한,대릴,사거리,가시,증가,프랭크"
21,22,2019,10,31,"치유,스타,폭발,표기,순위표,헤드,차감,개선,아군,공백,수정,획득,내일,퍼스트,연결,타라,점검,상태,모드,여러분,특수,경기,플레이어,그림자,회복,포인트,공격,패드,하루,다운,플레이,초과,종료,의견,파워,매칭,통해,대한,지급,오류,점프,브롤러,문제,이름"
22,23,2019,10,24,"오류,충돌,파워,점검,스타,표시,타일,대한,레벨,의견,여러분,잘못,문제,덤불,상품,상점,클릭,일부,발생,수정"
23,24,2019,10,23,"폭풍,감소,타격,스타,레온,폭발,패턴,변경,동안,치유,스파이크,속도,스핏볼,모래,샌디,크로우,로켓,롤러,투척,매직,밸런스,네이팜,효과,은신,포효,페니,포코,소량,상태,최대,지속,여러분,사용,특수,비트,건브렐,일반,회복,유성,테라,초당,햇살,조정,래스터,공격,매틱,피해,바람,맹독,주머니,시간,의견,오라,이동,내용,러시,파워,대한,비비,로드,적의,연막탄,오토,대릴,뮤직,후프,여우,착지,사거리,미니,장전,브록,사냥,증가,지뢰,에고,프리,강철,롤링"
24,25,2019,10,23,"확인,필터,배경,달성,기준,점수,친구,늑대,인간,롤러,음성,수정,참가,보상,그녀,패배,동점,효과,밸런스,화면,근접,기사,기회,기타,참가자,사람,경쟁,용의,스프레이,쉘리,덤불,발사,그림자,등장,플레이어,커뮤니티,특정,조정,피해,친선,방법,바탕,프로필,추가,조립,테마,태그,금고,이상,누적,예정,성적,랭킹,숫자,장식품,다른,프랭크,연쇄,비속어,업데이트,변경,게임,해골,보스,영광,헤어,로딩,테이크다운,순위,획득,무덤,이전,터렛,척도,시즌,사용,흡수,메이킹,이해,포인트,준비,상대,팩토리,플레이,공중,의견,실드,후원,다음,다시,분리,지기,경우,애니메이션,처치,진정,구매,뿌리,기능,스타,레온,만큼,테이크,면역,팔로워,승리,초기,바운티,개선,번개,로켓,듀오,상단,주변,대포,로윈,부터,초대,모드,최대,오른쪽,특수,일반,삼촌,참고,해제,하루,트로피,레이저,표시,냄새,기간,종료,달라짐,이번,매치,사체,통해,시작,스킨,오류,완료,감사,제시,오직,브롤러,능력,보유,대상,스타즈,인형,보석,지역,이스트,슬롯,목표,동안,즉시,모델링,향기,선택,이벤트,음악,기반,티스,도중,무승부,브롤,상태,지속,기억,여러분,돌격,또한,공동묘지,공격,할로윈,진행,체력,진척,다운,로만,채팅,상위,내용,파워,대한,적용,엠즈,마녀,포탑,파괴,특별,모든,범위,문제,구름,증가,무실점"
25,26,2019,10,9,"프리,폭풍,감소,스타,치유,타격,패턴,기준,변경,폭발,모래,블랙,샌디,크로우,라이플,아군,롤러,투척,매직,수정,밸런스,효과,타라,포털,은신,터렛,티스,상태,카드,최대,지속,여러분,특수,트리플,일반,회복,그림자,유성,초당,단검,수류탄,조정,공격,피해,맹독,자세,공중,추가,오라,시간,의견,내용,러시,파워,대한,비비,적의,충전,횟수,타로,사거리,매복,착지,미니,제시,영혼,설치,사냥,문제,범위,증가,지뢰,인식,쇼크,다발"
26,27,2019,9,20,"점검,다운,모드,제한,여러분,의견,수집,큐브,파워,대한,테이크다운,수정"
27,28,2019,9,18,"바캉스,제대로,확인,중앙,달성,발동,롤러,수정,효과,밸런스,개인,견제,기타,명의,플레이어,조정,아얏,피해,바람,혼자,추가,방식,이상,돌풍,관련,불사조,규칙,프리,업데이트,변경,게임,속도,무작위,보스,자갈,로보,테이크다운,리코,획득,가장,기기,가장자리,상대,의견,거나,상황,아이콘,부족,참여,질주,원호,애니메이션,지배,발생,보너스,도움말,폭풍,해변,스타,부활,고유,모래,샌디,승리,바운티,상단,아군,큐브,개선,부터,대난투,잠꾸러기,모드,최대,항상,오른쪽,특수,비트,일반,해적,관통,각각,마법사,해제,표시,트로피,전설,사체,스킨,오류,안드로이드,가지,제시,능력,브롤러,모양,부스터,라이프,슬롯,치유,동안,모델링,발리,크로우,이벤트,마지막,수면,여러분,라이더,초당,공격,진행,다운,호그,내용,파워,분노,대한,지원,부어,소환,서로,모든,브록,자동,범위,문제"
28,29,2019,9,18,"밴드,수량,롤러,작동,밸런스,효과,포코,쉘리,불협화음,발사,유성,플레이어,조정,이제,피해,미사일,추가,시간,조립,저격,메탈,장전,이드,알코올,대기,프리,게임,속도,보스,재사용,가장,매틱,팩토리,멀리,의견,적의,가시,곡괭이,아기,전속력,보너스,먹잇감,감소,스타,레온,부활,매우,샌디,큐브,로켓,네이팜,돌진,모드,최대,비트,일반,회복,래스터,러시,비비,오토,가까이,뮤직,로사,가지,브롤러,대상,라이프,하이퍼,홈런,발리,크로우,탄환,은신,티스,여러분,테라,초당,공격,맹독,스톰,다운,이동,내용,파워,대한,게이지,충전,포탑,글러브,브록,증가"
29,30,2019,9,2,"업데이트,안내,오류,기기,충돌,직접,진행,변경,의견,여러분,문제,적용,선택,대한,발생,수정"
30,31,2019,9,2,"오류,메시지,점검,의견,여러분,서버,문제,접속,기기,대한,일부,수정"
31,32,2019,8,30,"업데이트,안내,오류,기기,충돌,직접,진행,변경,의견,여러분,문제,적용,선택,대한,일부,발생,수정"
32,33,2019,8,29,"확인,대형,기준,달성,교차로,상품,롤러,수정,보상,효과,밸런스,기존,플러시,로봇,화면,근접,방문,기타,매그넘,덤불,스페셜,상점,아이리스,플레이어,등장,특정,조정,이제,피해,일사병,로얄,추가,변화,조립,방망이,시간,최고,알림,정상,예정,정보,필드,모두,사장,업데이트,사이드,실험실,확률,변경,게임,해골,공개,라인,상어,마일,획득,이전,재사용,머리,니키,터렛,가득,시즌,클럽,사용,은색,대체,포인트,현재,팩토리,희귀,플레이,공중,의견,거나,천국,가능,다음,지급,아이콘,연사,제외,폐허,사거리,설치,핑크,오아시스,경우,애니메이션,발생,보너스,처치,시도,장애물,해변,콜트,스타,메일,피해량,레온,부활,예시,모래,헤드,큐브,바운티,개선,아군,도달,초기,추석,페니,태풍,만날,모드,경기장,탭하,특수,비트,일반,야구,래스터,트로피,표시,기간,종료,이번,핀홀,한여름,통해,비비,증폭,스킨,랭크,오류,이후,브롤러,보유,대상,부스터,라이프,보석,슬롯,이스트,홈런,폭발,동안,즉시,모델링,호수,토큰,코스,스트레이트,골대,소급,이벤트,퍼스트,타라,티스,마지막,해당,브롤,여러분,사항,삭제,불모,공격,토끼,진행,다운,진척,황량,클래식,이동,내용,파워,분노,마찬가지,게이지,적용,대한,무료,중거리,스토리,상자,스톤,적군,사원,소환,모든,범위,황무지,문제,증가,곧바로,시점,무성"
33,34,2019,8,29,"스파이크,중앙,부츠,블랙,밴드,롤러,진의,수정,격려,밸런스,효과,포털,포코,쉘리,불협화음,발사,그림자,조정,이제,피해,추가,산탄총,저격,장전,이드,프랭크,프리,피루엣,변경,속도,타일,명칭,독수리,햇살,의견,보호,대릴,후프,곡괭이,미니,보이,지뢰,전속력,에고,폭풍,감소,콜트,스타,타격,레온,피해량,로켓,아군,네이팜,엄마,돌진,최대,특수,일반,회복,각각,자세,치가,스피드,총열,사체,압박,비비,스펀지,로사,매복,강철,치유,폭발,포옹,치인,탄환,타라,은신,티스,상태,여러분,초당,형태,공격,따귀,거리,이동,이중,내용,파워,대한,충전,영혼,브록,범위,문제,증가,가시거리"
34,35,2019,7,3,"업데이트,확인,스타,즉각,달성,해결,대해,매우,토큰,동의,개선,롤러,보상,밸런스,저희,전반,마지막,브롤,여러분,시즌,여기,난이도,또한,조정,아이템,이제,포인트,피드백,트로피,진행,인지,진척,차근차근,플레이,시스템,종료,의견,계속,이번,내용,대한,통해,더욱,관심,생각,다음,사과,체계,특별,이후,오늘,관련,전달,그동안,브롤러,모든,마련,스타즈,모두,과정,구매"
35,36,2019,6,27,"업데이트,스타,헤드,게임,차감,잘못,크로우,바운티,선택,회수,수정,획득,효과,퍼스트,점검,해당,모드,여러분,지속,특수,금액,상점,버섯,회복,플레이어,셀프,포인트,공격,피해,표시,친선,보이지,의견,수리,파워,대한,적용,지급,스킨,다시,예정,로그인,관련,모든,문제,팝업,구름,처치,구매"
36,37,2019,6,27,"확인,스파이크,배경,자신,햇빛,여름,밴드,상품,롤러,감자,음성,수정,격려,보상,밸런스,화면,로봇,개인,맞이,폭탄,포코,골드,메카,쉘리,매그넘,불협화음,포함,스페셜,상점,명의,발사,유성,그림자,조정,아이템,마이크,피해,일사병,바탕,시간,추가,방망이,적중,테마,튕겨,일정,이상,예정,정보,저격,장전,아웃,관련,이드,사냥,대기,알코올,스파링,필드,다른,프랭크,프리,나이트,사장,업데이트,피루엣,실험실,이하,불길,변경,속도,공개,라인,로보,시대,리코,메인,재사용,머리,다리,니키,터렛,가득,쇼키,시즌,사용,수도,셀프,평소,포인트,매틱,팩토리,지하,명중,불의,공중,의견,실드,라이트,로드,적의,보호,지급,자주,영향,대릴,페이스북,분리,사거리,가시,미니,재화,질주,경우,광산,아기,폭파,애니메이션,지뢰,전속력,먹잇감,구매,공장,바위,폭풍,콜트,기능,감소,스타,타격,피해량,레온,펀치,해변,계곡,헤드,모래,로켓,차원,아군,채널,바운티,개선,대포,페니,터프,엄마,생기며,돌진,공식,특수,비치,일반,회복,야구,동굴,갱도,눈동자,트로피,자세,표시,무법자,단장,기간,종료,러시,매치,사체,한여름,압박,비비,핀홀,오토,얼굴,스킨,랭크,오류,스펀지,로사,제시,전환,브롤러,대운하,보석,하이퍼,롤링,에너지,홈런,불꽃,치유,이스트,폭발,불펜,추적,동안,지점,즉시,발리,트위스트,진흙탕,통로,모델링,대치,크로우,선택,소급,탄환,퍼스트,각도,이벤트,타라,인스타그램,은신,음악,티스,상태,브롤,여러분,포크,침수,유독,사항,하나,유도,포물선,또한,커브,초당,삭제,공격,순간,진행,다운,진척,배럴,당한,수리,이동,내용,파워,호기,게이지,대한,충전,기절,파괴,상자,특별,글러브,요새,소환,모든,브록,범위,자동,문제,증가,시점,다발"
37,38,2019,6,27,"감소,이스트,스타,변경,게임,토큰,롤러,보상,획득,밸런스,대포,이상인,페니,폭탄,마지막,모드,최대,시즌,여러분,조정,포인트,팩토리,트로피,고려,체력,시간,플레이,종료,의견,내용,파워,대한,금고,파괴,평균,브롤러,증가,다른"
38,39,2019,6,11,"롤러,수정,밸런스,효과,간격,소량,배차,쉘리,슈퍼,조정,마이크,피해,친선,추가,시간,달리,적중,소모,튕겨,횟수,예정,장전,아웃,사냥,프랭크,업데이트,변경,게임,속도,스핏볼,무작위,타일,리코,독수리,스윙,화살,상대,의견,다음,대릴,후프,곡괭이,사거리,조금,핸드,광산,감소,스타,방해,매직,페니,모드,특수,일반,회복,주먹,공이,열차,비비,여우,로사,브롤러,대상,로우,쇼크,강철,홈런,트릭,피디,티스,마지막,해당,브롤,직전,지속,여러분,공격,배럴,차도,이동,내용,파워,대한,게이지,적용,충전,통탄,광기,파괴,자동,차기,문제,증가"
39,40,2019,5,29,"기능,타격,메일,변경,동안,활성화,삼진,개선,수정,점검,여러분,클럽,사용,특수,일반,공격,의견,대한,비비,대릴,아웃,문제,범위"
40,41,2019,5,21,"제대로,확인,통통,배경,햇빛,롤러,음성,수정,기념,밸런스,개인,화면,급속,럼블,플레이어,커뮤니티,조정,피해,미스,케이크,바탕,추가,피트,대표,테마,예정,에코,아웃,관련,체험,코너,소프트,영웅,업데이트,점핑,사이드,변경,속도,스핏볼,레트로,공개,멤버,깜짝,다리,스윙,가득,클럽,사용,슈퍼셀,의견,질주,지름길,메뉴,트랩,기능,스타,곡선,메일,분열,판타지,바운티,개선,특수,파이,일반,폴리스,오디오,메이플,패드,표시,스톱,비비,플라잉,전투,스킨,오류,로사,점프,캐나다,롤링,주년,지역,이스트,홈런,케이스,발리,런칭,핫휠,삼진,레이어,탄환,이벤트,은신,음악,상태,탈출,여러분,사항,삭제,공격,스퀘어,진행,아래,이동,이중,사이,내용,파워,분노,게이지,대한,적용,스토리,물속,브록,문제,증가,향상,일부,풍선껌"
41,42,2019,5,21,"회전,감소,제대로,스타,타격,변경,충격,속도,밸런스,효과,실제,도중,여러분,지속,사용,특수,일반,회복,조준,초당,조정,공격,주먹,시간,의견,조립,시각,일치,내용,파워,대한,적용,충전,카트,기절,횟수,로사,포탑,곡괭이,장전,미리,범위,증가,프랭크,자연"
42,43,2019,4,30,"효과,공격,감소,피해,상대,로사,점검,정상,표시,소량,시간,의견,여러분,지속,시각,문제,특수,대한,수정"
43,44,2019,4,18,"회전,에너지,링크,큐브,작동,수정,점검,여러분,특수,효과음,공격,열차,의도,플레이,의견,수집,파워,대한,카트,광기,관련,광산,문제"
44,45,2019,4,15,"반경,티밍,확인,스파이크,중앙,충격,발동,표기,요청,합류,롤러,음성,수정,참가,보상,근처,효과,무리,기존,밸런스,엘프,화면,로봇,요소,골드,럼블,덤불,플레이어,철로,조정,피해,친선,프로필,로얄,시간,고물,조립,추가,안정,기술,테마,태그,튕겨,금고,이상,정보,영역,스파링,대기,체험,거절,프랭크,프리,이름,업데이트,변경,언어,게임,공개,라인,보스,처리,멤버,로보,동시,자책골,색상,선수,수준,시즌,클럽,사용,메이킹,상대,팩토리,멀리,희귀,공중,플레이,관전,의견,증가,가능,골로,시청,보호,제거,아이콘,튜토리얼,영향,제외,두번째,조금,광산,애니메이션,처음,볼트,메뉴,감소,유성우,기능,스타,브룩,레온,중일,공원,판타지,개선,라이브,수락,대포,폴란드어,페니,모드,특수,일반,회복,버섯,네트워크,오디오,주먹,공이,열차,표시,중인,트로피,종료,보고,스테이지,매치,사체,통해,플라잉,물이,전투,스킨,오류,랭크,통계,로사,시바견,상호작용,런웨이,드링크,신규,미리,이후,브롤러,자연,보석,지역,에너지,폭발,목표,동안,버튼,모델링,발리,토큰,즉시,스트레이트,선택,위험,이벤트,음악,덩굴,마지막,히브리어,상태,브롤,여러분,사항,박스,공격,실험,토끼,센터,진행,다운,아래,이동,시각,이중,내용,인정,파워,매칭,분노,대한,무료,기절,겨냥,타로,수트,포탑,파괴,광기,소환,모든,범위,문제,접속,메인,향상,일부"
45,46,2019,4,15,"재생,회전,감소,스타,스파이크,레온,목표,변경,부활,동안,지형,속도,발동,보스,크로우,로보,투척,타일,수정,근처,밸런스,효과,위치,도중,터렛,포코,여러분,지속,쉘리,사용,특수,일반,조준,회복,단검,수류탄,조정,공격,이제,피해,상대,스톰,고려,전이,레벨,공중,시간,의견,내용,사이,파워,사체,대한,산탄총,카트,연막탄,대릴,힐링,기절,곡괭이,파괴,메탈,장전,분할,브롤러,문제,애니메이션,범위,증가,자동,처치,앙코르"
46,47,2019,3,15,"물의,감소,입지,중앙,폭발,목표,변경,지점,덕분,게임,속도,의견,무작위,개선,타일,진의,매직,수정,암흑,효과,기존,타라,점검,약간,머리,화면,로봇,페니,모습,티스,터렛,모드,해당,눈덩이,항상,여러분,특수,덤불,발사,조정,공격,할인,이해,패드,팩토리,피해,진행,체력,인기,지연,플레이,시간,종료,시각,위함,조립,증가,이번,변화,사체,통해,대한,적용,마녀,크게,가격,스킨,자주,이상,사거리,포탑,파괴,이후,점프,조금,소환,핸드,브록,브롤러,제시,발생,모두,볼트"
47,48,2019,3,5,"업데이트,충돌,누락,기능,중앙,변동,변경,게임,상단,선택,개선,수정,이벤트,효과,직접,위치,로봇,화면,창의,거꾸로,상태,모드,여러분,특수,윤곽,일반,조정,안내,공격,상대,팩토리,표시,트로피,체력,진행,추가,관전,종료,의견,대한,적용,텍스트,전투,아이콘,오류,정보,특별,영역,문제,경우,숫자,일부,카운트다운"
48,49,2019,2,27,"회전,확인,중앙,합류,롤러,음성,수정,기념,효과,밸런스,로봇,간격,요소,포함,등장,커뮤니티,조정,피해,친선,레벨,로얄,시간,추가,조립,특수요원,소모,일정,대기,업데이트,변경,게임,속도,생일,공개,보스,환경,금지,팩토리,플레이,의견,거나,증가,수집,카트,다시,곡괭이,사거리,볼트,메뉴,콜트,유성우,감소,스타,기능,방해,부활,도울,로테이션,개선,도달,듀오,주변,페니,초대,볼륨,모드,최대,특수,일반,관통,설정,패드,트로피,스킨,가지,상호작용,점프,브롤러,로우,슬롯,목표,발리,토큰,목록,피디,이벤트,정렬,경험치,음악,티스,도중,브롤,여러분,사항,하나,효과음,공격,진행,다운,차도,이동,시각,내용,파워,대한,적용,충전,클래시,비행,포탑,파괴,특별,초희,모든,문제,경우,일부"
49,50,2019,2,27,"반경,감소,이스트,에너지,스타,레온,변경,게임,발리,속도,링크,크로우,로보,롤러,투척,우선,매직,타일,획득,밸런스,효과,로봇,근접,후반,독수리,티스,상태,모드,럼블,화살,여러분,특수,일반,회복,수리검,버섯,등장,단검,조정,공격,피해,스톰,체력,다운,부가,보이지,배럴,시간,오라,의견,내용,파워,사체,분노,대한,크기,충전,연막탄,대릴,횟수,금고,공통,메탈,장전,라스트,영혼,핸드,사냥,자동,물품,증가,통과,롤링"
50,51,2019,2,14,"마무리,점검,도전,표시,친선,대한,개선,레벨,게임,의견,여러분,문제,보스,타이머,매치,분노,메이킹,단계,발생,수정"
51,52,2019,2,8,"업데이트,감소,기능,가끔,변경,문구,버튼,잘못,요청,링크,가독성,메뉴,선택,개선,가입,수락,수정,이전,직접,팔로잉,색상,음악,화면,초대,오버타임,모드,여러분,클럽,사용,윤곽,메이킹,플레이어,설정,기본,네트워크,안내,공격,최적화,표시,진행,다운,설날,시간,관전,종료,추가,플레이,안정,메모리,의견,매치,대한,적용,텍스트,테마,오류,기절,다시,이상,정상,저장,강제,상자,노래,문제,대기,위해,카운트다운,환영,이름"
52,53,2019,2,7,"기능,스타,기준,변경,부활,게임,활성화,개선,롤러,수정,근처,효과,획득,위치,점검,약간,티스,브롤,모드,가장,여러분,메이킹,플레이어,이제,상대,트로피,진행,방법,매커니즘,보이지,플레이,시간,추가,의견,파워,매치,대한,다시,파괴,파티,방지,문제,증가,프랭크,더미"
